time	V(pos)	I(Iexample)
6.239787218420770e-004	1.994264e-004	4.991830e-006
6.239787406722386e-004	1.994325e-004	4.991830e-006
6.239787606956664e-004	1.995418e-004	4.991830e-006
6.239787849619088e-004	1.996824e-004	4.991830e-006
6.239788150671839e-004	1.997299e-004	4.991830e-006
6.239788362134494e-004	1.996484e-004	4.991831e-006
6.239788608376543e-004	1.995081e-004	4.991831e-006
6.239788860765999e-004	1.994467e-004	4.991831e-006
6.239789053013830e-004	1.995002e-004	4.991831e-006
6.239789292171861e-004	1.996314e-004	4.991831e-006
6.239789550355342e-004	1.997240e-004	4.991832e-006
6.239789750193743e-004	1.997021e-004	4.991832e-006
6.239789963609238e-004	1.996004e-004	4.991832e-006
6.239790218527017e-004	1.994941e-004	4.991832e-006
6.239790489727954e-004	1.994906e-004	4.991833e-006
6.239790731366509e-004	1.995804e-004	4.991833e-006
6.239791014033653e-004	1.996797e-004	4.991833e-006
6.239791322906590e-004	1.996692e-004	4.991833e-006
6.239791575150971e-004	1.995791e-004	4.991833e-006
6.239791861518749e-004	1.994969e-004	4.991834e-006
6.239792129876400e-004	1.995229e-004	4.991834e-006
6.239792395895260e-004	1.996172e-004	4.991834e-006
6.239792689820207e-004	1.996865e-004	4.991834e-006
6.239792918440182e-004	1.996573e-004	4.991834e-006
6.239793173344162e-004	1.995676e-004	4.991834e-006
6.239793461010349e-004	1.995046e-004	4.991835e-006
6.239793701796012e-004	1.995336e-004	4.991835e-006
6.239793979894823e-004	1.996208e-004	4.991835e-006
6.239794285200583e-004	1.996717e-004	4.991835e-006
6.239794527496573e-004	1.996355e-004	4.991836e-006
6.239794819511434e-004	1.995521e-004	4.991836e-006
6.239795129451933e-004	1.995217e-004	4.991836e-006
6.239795384104830e-004	1.995667e-004	4.991836e-006
6.239795753596171e-004	1.996435e-004	4.991837e-006
6.239796109024120e-004	1.996300e-004	4.991837e-006
6.239796416933292e-004	1.995655e-004	4.991837e-006
6.239796766430514e-004	1.995342e-004	4.991838e-006
6.239797041099972e-004	1.995738e-004	4.991838e-006
6.239797444059266e-004	1.996370e-004	4.991838e-006
6.239797828958041e-004	1.996134e-004	4.991838e-006
6.239798184806310e-004	1.995562e-004	4.991839e-006
6.239798561563933e-004	1.995559e-004	4.991839e-006
6.239798871142002e-004	1.996040e-004	4.991839e-006
6.239799273307441e-004	1.996355e-004	4.991839e-006
6.239799584577014e-004	1.996023e-004	4.991840e-006
6.239800022863947e-004	1.995564e-004	4.991840e-006
6.239800450908634e-004	1.995839e-004	4.991840e-006
6.239800913943300e-004	1.996241e-004	4.991841e-006
6.239801358393411e-004	1.995977e-004	4.991841e-006
6.239801807799585e-004	1.995619e-004	4.991841e-006
6.239802267193219e-004	1.995874e-004	4.991842e-006
6.239802745112956e-004	1.996193e-004	4.991842e-006
6.239803230349191e-004	1.995940e-004	4.991843e-006
6.239803777825501e-004	1.995699e-004	4.991843e-006
6.239804303175852e-004	1.995999e-004	4.991844e-006
6.239804838766960e-004	1.996114e-004	4.991844e-006
6.239805295982105e-004	1.995813e-004	4.991844e-006
6.239805824996264e-004	1.995766e-004	4.991844e-006
6.239806252767056e-004	1.996050e-004	4.991845e-006
6.239806781420924e-004	1.996049e-004	4.991845e-006
6.239807216558672e-004	1.995777e-004	4.991846e-006
6.239807738923258e-004	1.995823e-004	4.991846e-006
6.239808203118101e-004	1.996082e-004	4.991847e-006
6.239808737799177e-004	1.995984e-004	4.991847e-006
6.239809252015279e-004	1.995760e-004	4.991848e-006
6.239809805662615e-004	1.995903e-004	4.991848e-006
6.239810438745548e-004	1.996048e-004	4.991849e-006
6.239811073339374e-004	1.995850e-004	4.991849e-006
6.239811720025435e-004	1.995867e-004	4.991849e-006
6.239812299001839e-004	1.996041e-004	4.991850e-006
6.239812953295728e-004	1.995932e-004	4.991850e-006
6.239813692590473e-004	1.995847e-004	4.991851e-006
6.239814425546272e-004	1.996004e-004	4.991852e-006
6.239815151674043e-004	1.995935e-004	4.991852e-006
6.239815891826157e-004	1.995848e-004	4.991853e-006
6.239816655485979e-004	1.995983e-004	4.991854e-006
6.239817465048794e-004	1.995932e-004	4.991854e-006
6.239818258373985e-004	1.995863e-004	4.991854e-006
6.239819086020315e-004	1.995978e-004	4.991855e-006
6.239819970153667e-004	1.995927e-004	4.991856e-006
6.239820899638046e-004	1.995890e-004	4.991857e-006
6.239821840648187e-004	1.995978e-004	4.991858e-006
6.239822777296377e-004	1.995934e-004	4.991858e-006
6.239824178459686e-004	1.995939e-004	4.991859e-006
6.239825371124374e-004	1.995953e-004	4.991860e-006
6.239826581863001e-004	1.995902e-004	4.991861e-006
6.239827889731719e-004	1.995939e-004	4.991862e-006
6.239829669747592e-004	1.995926e-004	4.991864e-006
6.239831468089182e-004	1.995932e-004	4.991865e-006
6.239833283158127e-004	1.995938e-004	4.991867e-006
6.239835022792367e-004	1.995921e-004	4.991868e-006
6.239836799725725e-004	1.995948e-004	4.991869e-006
6.239838801757457e-004	1.995932e-004	4.991871e-006
6.239841647487930e-004	1.995936e-004	4.991874e-006
